Fighter1,F1_Height,F1_Weight,F1_Reach,F1_DOB,F1_profile_url,Fighter2,F2_Height,F2_Weight,F2_Reach,F2_DOB,F2_profile_url,F1_result,F2_result,F1_KD,F2_KD,F1_SS_hit,F1_SS_att,F2_SS_hit,F2_SS_att,F1_totalStrikes_hit,F1_totalStrikes_att,F2_totalStrikes_hit,F2_totalStrikes_att,F1_TD_conv,F1_TD_att,F2_TD_conv,F2_TD_att,F1_Sub,F2_Sub,F1_pass,F2_pass,F1_rev,F2_rev,F1_head_hit,F1_head_att,F2_head_hit,F2_head_att,F1_body_conv,F1_body_att,F2_body_conv,F2_body_att,F1_leg_conv,F1_leg_att,F2_leg_conv,F2_leg_att,F1_distance_conv,F1_distance_att,F2_distance_conv,F2_distance_att,F1_clinch_conv,F1_clinch_att,F2_clinch_conv,F2_clinch_att,F1_ground_conv,F1_ground_att,F2_ground_conv,F2_ground_att,Date,Location,Attendance
Jennifer Maia,64,125,64,1988-10-06 00:00:00,http://www.ufcstats.com/fighter-details/8e1f36476ef02a6a,Katlyn Chookagian,69.0,125.0,68.0,1988-12-28 00:00:00,http://www.ufcstats.com/fighter-details/e872e9a9a902c045,L,W,0,0,58,231,73,180,74,248,109,217,1,2,0,1,0,0,0,1,0,0,31,193,45,142,5,13,15,21,22,25,13,17,57,228,73,180,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2019-11-02,"New York City, New York, USA",20143
Chance Rencountre,74,170,75,1986-12-31 00:00:00,http://www.ufcstats.com/fighter-details/1ddb480b601cefb1,Lyman Good,72.0,170.0,74.0,1985-05-26 00:00:00,http://www.ufcstats.com/fighter-details/4e0692ad070976e4,L,W,0,1,23,83,68,134,23,85,73,142,0,1,0,0,0,0,0,0,0,0,6,54,52,113,14,26,6,10,3,3,10,11,20,80,59,124,3,3.0,8.0,9.0,0.0,0.0,1.0,1.0,2019-11-02,"New York City, New York, USA",20143
Hakeem Dawodu,68,145,73,1991-07-02 00:00:00,http://www.ufcstats.com/fighter-details/2c9d00968f818270,Julio Arce,67.0,145.0,70.0,1989-10-27 00:00:00,http://www.ufcstats.com/fighter-details/1291edf2d566a71a,W,L,0,0,55,139,32,124,83,170,64,162,0,0,1,3,0,0,2,0,1,0,15,79,21,101,25,42,11,22,15,18,0,1,40,121,28,116,11,14.0,4.0,8.0,4.0,4.0,0.0,0.0,2019-11-02,"New York City, New York, USA",20143
Ben Askren,71,170,73,1984-07-18 00:00:00,http://www.ufcstats.com/fighter-details/0b31f87be71ebbb1,Demian Maia,73.0,170.0,72.0,1977-11-06 00:00:00,http://www.ufcstats.com/fighter-details/427b5953ac8e3a27,L,W,0,0,63,127,69,122,102,168,84,137,4,7,0,0,0,1,4,1,1,2,54,116,44,88,4,6,25,34,5,5,0,0,46,108,49,99,11,13.0,17.0,20.0,6.0,6.0,3.0,3.0,2019-10-26,"Kallang, Singapore",7155
Stevie Ray,70,155,70,1990-03-25 00:00:00,http://www.ufcstats.com/fighter-details/31a13532e724ca2b,Michael Johnson,70.0,145.0,73.0,1986-06-04 00:00:00,http://www.ufcstats.com/fighter-details/511e82663651438d,W,L,0,0,85,188,78,173,104,207,81,176,1,4,0,0,0,0,0,1,0,0,59,156,46,134,4,4,19,26,22,28,13,13,57,142,77,172,0,0.0,1.0,1.0,28.0,46.0,0.0,0.0,2019-10-26,"Kallang, Singapore",7155
Beneil Dariush,70,155,72,1989-05-06 00:00:00,http://www.ufcstats.com/fighter-details/08af939f41b5a57b,Frank Camacho,70.0,170.0,73.0,1989-05-18 00:00:00,http://www.ufcstats.com/fighter-details/764342d39cdaa54a,W,L,0,0,13,18,3,9,14,19,3,9,2,2,0,0,1,0,0,1,0,0,8,13,1,7,3,3,2,2,2,2,0,0,11,16,2,8,2,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2019-10-26,"Kallang, Singapore",7155
Don'Tale Mayes,78,260,81,1992-01-16 00:00:00,http://www.ufcstats.com/fighter-details/1a9480fc288e55d7,Ciryl Gane,76.0,245.0,81.0,1990-04-12 00:00:00,http://www.ufcstats.com/fighter-details/787bb1f087ccff8a,L,W,0,1,32,121,94,168,40,132,99,173,0,0,3,3,0,1,1,0,0,0,14,90,50,112,5,9,30,40,13,22,14,16,30,118,68,128,2,3.0,22.0,29.0,0.0,0.0,4.0,11.0,2019-10-26,"Kallang, Singapore",7155
Laureano Staropoli,73,170,71,1993-02-27 00:00:00,http://www.ufcstats.com/fighter-details/a12a8314adc1c1c9,Muslim Salikhov,71.0,170.0,70.0,1984-06-09 00:00:00,http://www.ufcstats.com/fighter-details/447f9858ae78f921,L,W,0,0,42,138,63,132,48,144,64,133,0,3,3,5,0,0,0,0,0,0,26,110,41,105,13,25,15,20,3,3,7,7,40,135,49,109,2,3.0,11.0,18.0,0.0,0.0,3.0,5.0,2019-10-26,"Kallang, Singapore",7155
Ashley Yoder,67,115,69,1987-10-20 00:00:00,http://www.ufcstats.com/fighter-details/b4c6c904a9ffc5e8,Randa Markos,64.0,115.0,63.0,1985-08-10 00:00:00,http://www.ufcstats.com/fighter-details/4a57ebb14315b251,L,W,0,0,44,107,78,140,82,148,94,158,2,6,0,1,0,0,1,3,1,1,30,84,58,116,11,16,10,13,3,7,10,11,24,80,42,93,5,10.0,26.0,33.0,15.0,17.0,10.0,14.0,2019-10-26,"Kallang, Singapore",7155
Rafael Fiziev,68,155,71,1993-03-05 00:00:00,http://www.ufcstats.com/fighter-details/c814b4c899793af6,Alex White,72.0,155.0,71.0,1988-10-22 00:00:00,http://www.ufcstats.com/fighter-details/c17041f1bb5768d8,W,L,0,0,66,131,55,133,73,138,66,146,1,1,0,11,0,0,0,0,0,0,40,86,37,102,12,26,15,27,14,19,3,4,52,109,36,107,14,22.0,18.0,25.0,0.0,0.0,1.0,1.0,2019-10-26,"Kallang, Singapore",7155
Movsar Evloev,67,145,72,1994-02-11 00:00:00,http://www.ufcstats.com/fighter-details/76e2870ffafbe38f,Enrique Barzola,67.0,145.0,70.0,1989-04-28 00:00:00,http://www.ufcstats.com/fighter-details/be0b310a12eb80b4,W,L,0,0,71,233,78,234,78,244,83,239,4,11,1,5,0,0,1,0,0,0,63,220,48,189,3,5,21,31,5,8,9,14,66,221,64,212,4,10.0,6.0,7.0,1.0,2.0,8.0,15.0,2019-10-26,"Kallang, Singapore",7155
Sergei Pavlovich,75,257,84,1992-05-13 00:00:00,http://www.ufcstats.com/fighter-details/f14cf73e51b29254,Maurice Greene,79.0,258.0,80.0,1986-07-05 00:00:00,http://www.ufcstats.com/fighter-details/068f8a189a47fea6,W,L,1,0,20,37,8,22,21,38,8,22,0,0,0,0,0,0,0,0,0,0,20,36,1,11,0,1,1,2,0,0,6,9,7,17,8,22,5,8.0,0.0,0.0,8.0,12.0,0.0,0.0,2019-10-26,"Kallang, Singapore",7155
Alexandra Albu,62,115,63,1990-07-14 00:00:00,http://www.ufcstats.com/fighter-details/e76d9f656ceb82ab,Loma Lookboonmee,61.0,115.0,61.0,1996-01-18 00:00:00,http://www.ufcstats.com/fighter-details/4e30e4250cb08b61,L,W,0,0,65,157,99,151,77,171,112,164,1,3,1,6,0,0,0,0,0,0,42,128,31,66,21,25,54,71,2,4,14,14,34,114,38,74,29,39.0,61.0,77.0,2.0,4.0,0.0,0.0,2019-10-26,"Kallang, Singapore",7155
Jeff Hughes,74,250,78,1988-05-17 00:00:00,http://www.ufcstats.com/fighter-details/6a11e325aa60ad02,Raphael Pessoa,75.0,262.0,78.0,1989-03-09 00:00:00,http://www.ufcstats.com/fighter-details/41f90012b86a11bf,L,W,0,1,34,77,39,138,48,93,43,143,0,0,0,0,0,0,0,0,1,0,10,46,22,112,6,9,3,8,18,22,14,18,28,68,32,125,3,4.0,7.0,13.0,3.0,5.0,0.0,0.0,2019-10-26,"Kallang, Singapore",7155
Chris Weidman,74,185,78,1984-06-17 00:00:00,http://www.ufcstats.com/fighter-details/3a8176e15b9887c1,Dominick Reyes,76.0,205.0,77.0,1989-12-26 00:00:00,http://www.ufcstats.com/fighter-details/2e19380f34871c6a,L,W,0,1,3,6,8,11,10,13,9,12,1,4,0,0,0,0,0,0,0,0,1,4,7,10,2,2,0,0,0,0,1,1,1,3,2,4,1,1.0,2.0,2.0,1.0,2.0,4.0,5.0,2019-10-18,"Boston, Massachusetts, USA",12066
Jeremy Stephens,68,145,71,1986-05-25 00:00:00,http://www.ufcstats.com/fighter-details/18968f97ad34f15c,Yair Rodriguez,71.0,145.0,71.0,1992-10-06 00:00:00,http://www.ufcstats.com/fighter-details/cbf5e6f231b55443,L,W,0,0,50,95,96,170,99,156,136,213,3,4,0,3,0,0,0,1,0,0,35,76,65,127,10,10,14,23,5,9,17,20,19,51,54,100,6,11.0,6.0,10.0,25.0,33.0,36.0,60.0,2019-10-18,"Boston, Massachusetts, USA",12066
Ben Sosoli,69,265,72,1989-12-10 00:00:00,http://www.ufcstats.com/fighter-details/326f94d6cfb1bf25,Greg Hardy,77.0,265.0,80.0,1988-07-28 00:00:00,http://www.ufcstats.com/fighter-details/85073dbd1be65ed9,NC,NC,0,0,26,97,54,105,26,97,54,105,0,0,0,0,0,0,0,0,0,0,15,78,22,72,10,18,5,5,1,1,27,28,26,96,52,103,0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2019-10-18,"Boston, Massachusetts, USA",12066
Jonathan Pearce,72,155,71,1992-05-01 00:00:00,http://www.ufcstats.com/fighter-details/87c0b1c696ddfb43,Joe Lauzon,70.0,155.0,71.0,1984-05-22 00:00:00,http://www.ufcstats.com/fighter-details/3bad7ef643840f67,L,W,0,0,8,19,25,36,8,19,28,39,0,0,1,2,0,0,2,0,0,0,4,14,24,35,2,3,1,1,2,2,0,0,8,18,9,19,0,1.0,1.0,1.0,0.0,0.0,15.0,16.0,2019-10-18,"Boston, Massachusetts, USA",12066
Gillian Robertson,65,125,63,1995-05-17 00:00:00,http://www.ufcstats.com/fighter-details/38c7f72747f4f712,Maycee Barber,65.0,125.0,65.0,1998-05-18 00:00:00,http://www.ufcstats.com/fighter-details/6a740daf1b279661,L,W,0,0,12,28,34,68,15,31,40,74,0,2,0,0,0,0,0,0,0,0,8,21,31,65,2,3,3,3,2,4,0,0,11,27,15,46,1,1.0,16.0,19.0,0.0,0.0,3.0,3.0,2019-10-18,"Boston, Massachusetts, USA",12066
Darren Stewart,72,185,74,1990-12-30 00:00:00,http://www.ufcstats.com/fighter-details/a17ad5a5048e8c3f,Deron Winn,66.0,185.0,70.0,1989-06-13 00:00:00,http://www.ufcstats.com/fighter-details/483a953b18d73bb3,W,L,0,0,57,119,29,53,77,140,66,98,1,1,6,15,0,0,1,0,0,1,54,115,25,49,3,4,1,1,0,0,3,3,31,88,11,31,14,17.0,7.0,11.0,12.0,14.0,11.0,11.0,2019-10-18,"Boston, Massachusetts, USA",12066
Manny Bermudez,70,135,71,1994-07-16 00:00:00,http://www.ufcstats.com/fighter-details/2dc1bc1a02961656,Charles Rosa,69.0,145.0,69.0,1986-08-24 00:00:00,http://www.ufcstats.com/fighter-details/40093d1d2d78394e,L,W,0,0,27,38,6,8,37,49,8,11,1,1,0,0,0,1,0,1,0,0,25,36,1,3,2,2,2,2,0,0,3,3,1,5,6,8,0,1.0,0.0,0.0,26.0,32.0,0.0,0.0,2019-10-18,"Boston, Massachusetts, USA",12066
Diana Belbita,67,135,,,http://www.ufcstats.com/fighter-details/d7e40dca3ae125be,Molly McCann,64.0,125.0,62.0,1990-05-04 00:00:00,http://www.ufcstats.com/fighter-details/51018a31ddf31eb2,L,W,0,0,98,252,113,238,104,260,126,252,1,1,5,14,0,1,5,0,0,0,58,201,86,199,23,31,17,24,17,20,10,15,76,219,73,177,18,29.0,8.0,14.0,4.0,4.0,32.0,47.0,2019-10-18,"Boston, Massachusetts, USA",12066
Sean Woodson,75,145,79,1992-06-07 00:00:00,http://www.ufcstats.com/fighter-details/4682bc59d5f55145,Kyle Bochniak,67.0,145.0,70.0,1987-02-05 00:00:00,http://www.ufcstats.com/fighter-details/c5af5750e8bae4f0,W,L,0,0,111,251,42,151,150,290,52,161,0,0,1,15,0,0,0,0,0,0,93,231,17,113,8,10,15,26,10,10,10,12,104,243,32,137,7,8.0,10.0,14.0,0.0,0.0,0.0,0.0,2019-10-18,"Boston, Massachusetts, USA",12066
Boston Salmon,69,135,69,1990-11-20 00:00:00,http://www.ufcstats.com/fighter-details/98e946879ba20c0f,Randy Costa,69.0,135.0,73.0,1994-07-06 00:00:00,http://www.ufcstats.com/fighter-details/325ad0dd9126d3df,L,W,0,2,12,22,22,44,16,26,23,45,0,1,0,0,0,0,0,0,0,0,4,13,21,41,7,8,1,3,1,1,0,0,11,21,19,36,1,1.0,0.0,1.0,0.0,0.0,3.0,7.0,2019-10-18,"Boston, Massachusetts, USA",12066
Sean Brady,69,170,,1992-11-23 00:00:00,http://www.ufcstats.com/fighter-details/45f7cb591c3ab00b,Court McGee,71.0,170.0,75.0,1984-12-12 00:00:00,http://www.ufcstats.com/fighter-details/523fa774700d7d3f,W,L,1,0,119,210,107,291,148,240,128,313,2,3,0,6,0,0,0,0,0,0,85,168,71,236,8,13,12,29,26,29,24,26,116,203,101,282,3,6.0,6.0,9.0,0.0,1.0,0.0,0.0,2019-10-18,"Boston, Massachusetts, USA",12066
Kevin Holland,75,185,81,1992-11-05 00:00:00,http://www.ufcstats.com/fighter-details/3a46b268013afede,Brendan Allen,74.0,185.0,75.0,1995-12-28 00:00:00,http://www.ufcstats.com/fighter-details/2f181c0467965b98,L,W,0,0,22,38,10,22,37,55,23,41,1,1,2,3,1,4,5,2,1,2,14,27,7,19,5,6,1,1,3,5,2,2,12,26,5,14,0,0.0,1.0,1.0,10.0,12.0,4.0,7.0,2019-10-18,"Boston, Massachusetts, USA",12066
Tanner Boser,74,255,75,1991-08-02 00:00:00,http://www.ufcstats.com/fighter-details/04c8b08b16a5b99e,Daniel Spitz,79.0,245.0,82.0,1990-07-31 00:00:00,http://www.ufcstats.com/fighter-details/f86cb5f25d545e0e,W,L,0,0,93,151,32,108,93,151,32,108,0,0,0,0,0,0,0,0,0,0,33,86,20,83,25,27,6,16,35,38,6,9,93,151,32,108,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-18,"Boston, Massachusetts, USA",12066
Michelle Waterson,63,115,62,1986-01-06 00:00:00,http://www.ufcstats.com/fighter-details/eb04b9d31e938edb,Joanna Jedrzejczyk,66.0,125.0,65.0,1987-08-18 00:00:00,http://www.ufcstats.com/fighter-details/3d6749c4267da18f,L,W,0,0,58,160,180,300,71,174,226,347,1,9,3,5,1,1,0,1,0,0,25,84,48,136,12,40,54,74,21,36,78,90,44,141,132,246,14,19.0,48.0,54.0,0.0,0.0,0.0,0.0,2019-10-12,"Tampa, Florida, USA",10597
Kron Gracie,69,145,70,1988-07-11 00:00:00,http://www.ufcstats.com/fighter-details/242d36d241b43c12,Cub Swanson,68.0,145.0,70.0,1983-11-02 00:00:00,http://www.ufcstats.com/fighter-details/d247691a6c0e9034,L,W,0,0,86,200,135,288,109,225,143,296,0,2,0,0,0,0,0,0,0,0,73,177,84,215,4,8,40,58,9,15,11,15,74,182,110,252,11,16.0,24.0,34.0,1.0,2.0,1.0,2.0,2019-10-12,"Tampa, Florida, USA",10597
James Vick,75,155,76,1987-02-23 00:00:00,http://www.ufcstats.com/fighter-details/6256b2b1562cb8e1,Niko Price,72.0,170.0,76.0,1989-09-29 00:00:00,http://www.ufcstats.com/fighter-details/d8da10db80131bec,L,W,0,1,9,18,11,22,10,19,15,28,0,0,0,1,0,0,1,0,0,0,6,15,10,21,1,1,0,0,2,2,1,1,5,11,2,9,0,0.0,0.0,0.0,4.0,7.0,9.0,13.0,2019-10-12,"Tampa, Florida, USA",10597
Amanda Ribas,63,115,66,1993-08-26 00:00:00,http://www.ufcstats.com/fighter-details/beecb672a279223e,Mackenzie Dern,64.0,115.0,63.0,1993-03-24 00:00:00,http://www.ufcstats.com/fighter-details/7447e9f28508106a,W,L,0,0,74,206,20,145,84,216,50,175,2,2,0,6,0,0,0,0,0,0,40,163,16,135,21,28,3,8,13,15,1,2,72,203,19,144,0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,2019-10-12,"Tampa, Florida, USA",10597
Luis Pena,75,155,75,1993-07-05 00:00:00,http://www.ufcstats.com/fighter-details/2844b047183a1adb,Matt Frevola,69.0,155.0,71.0,1990-06-11 00:00:00,http://www.ufcstats.com/fighter-details/dccb63727f2f5f74,L,W,0,0,51,120,48,110,60,129,51,115,1,2,4,7,2,0,1,1,3,0,43,104,27,82,7,15,10,17,1,1,11,11,37,101,46,105,8,10.0,2.0,5.0,6.0,9.0,0.0,0.0,2019-10-12,"Tampa, Florida, USA",10597
Gerald Meerschaert,73,185,77,1987-12-18 00:00:00,http://www.ufcstats.com/fighter-details/6ac9bc2953c47345,Eryk Anders,73.0,205.0,75.0,1987-04-21 00:00:00,http://www.ufcstats.com/fighter-details/cad24459b28592ca,L,W,0,0,72,202,64,178,72,202,64,178,0,1,0,0,0,0,0,0,0,0,56,185,31,132,13,14,14,22,3,3,19,24,71,201,61,173,1,1.0,2.0,2.0,0.0,0.0,1.0,3.0,2019-10-12,"Tampa, Florida, USA",10597
Devin Clark,72,205,75,1990-04-12 00:00:00,http://www.ufcstats.com/fighter-details/cc7040fe76f0ef91,Ryan Spann,77.0,205.0,79.0,1991-08-24 00:00:00,http://www.ufcstats.com/fighter-details/a67f5afa8d6a1b80,L,W,0,0,17,37,17,48,22,42,17,48,2,3,0,1,0,1,0,0,0,0,8,27,14,44,7,8,3,4,2,2,0,0,11,29,8,36,6,8.0,9.0,12.0,0.0,0.0,0.0,0.0,2019-10-12,"Tampa, Florida, USA",10597
Thomas Gifford,73,155,75,1992-07-26 00:00:00,http://www.ufcstats.com/fighter-details/e7f51d9f9e9259e7,Mike Davis,,,,,http://www.ufcstats.com/fighter-details/c8661e204c66f325,L,W,0,2,88,242,139,222,89,243,141,224,0,2,2,2,0,0,1,0,0,0,45,189,96,166,18,23,32,40,25,30,11,16,80,229,98,173,8,11.0,17.0,18.0,0.0,2.0,24.0,31.0,2019-10-12,"Tampa, Florida, USA",10597
Alex Morono,71,170,72,1990-08-16 00:00:00,http://www.ufcstats.com/fighter-details/cdb96af67d096b1e,Max Griffin,71.0,170.0,76.0,1985-11-29 00:00:00,http://www.ufcstats.com/fighter-details/b0d6a1d8ac3d563d,W,L,1,0,81,255,75,166,87,261,94,189,0,1,4,5,0,0,1,0,0,0,60,229,37,115,11,15,33,45,10,11,5,6,68,237,69,156,12,16.0,5.0,9.0,1.0,2.0,1.0,1.0,2019-10-12,"Tampa, Florida, USA",10597
Tim Elliott,67,135,66,1986-12-24 00:00:00,http://www.ufcstats.com/fighter-details/c96d9178c9ed9e62,Deiveson Figueiredo,65.0,125.0,68.0,1987-12-18 00:00:00,http://www.ufcstats.com/fighter-details/aa72b0f831d0bfe5,L,W,0,0,26,38,8,13,33,45,8,13,1,3,0,1,0,1,0,0,0,0,10,16,8,13,1,5,0,0,15,17,0,0,20,28,6,10,6,10.0,2.0,3.0,0.0,0.0,0.0,0.0,2019-10-12,"Tampa, Florida, USA",10597
Andre Ewell,68,135,75,1988-01-21 00:00:00,http://www.ufcstats.com/fighter-details/5f6f049d54728e88,Marlon Vera,68.0,135.0,70.0,1992-12-02 00:00:00,http://www.ufcstats.com/fighter-details/7c7332319c14094c,L,W,0,0,50,131,80,133,67,148,87,140,0,1,0,1,0,2,0,0,0,0,38,112,41,83,11,18,19,26,1,1,20,24,49,124,51,95,1,6.0,15.0,21.0,0.0,1.0,14.0,17.0,2019-10-12,"Tampa, Florida, USA",10597
Hector Aldana,71,170,72,1988-08-17 00:00:00,http://www.ufcstats.com/fighter-details/c487223b0289bda9,Miguel Baeza,74.0,170.0,74.0,1992-08-23 00:00:00,http://www.ufcstats.com/fighter-details/82d4c957649faf9b,L,W,0,1,8,42,35,61,8,42,35,61,0,0,1,1,0,0,0,0,0,0,2,30,16,38,0,4,3,7,6,8,16,16,8,42,29,51,0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,2019-10-12,"Tampa, Florida, USA",10597
Andrew Sanchez,73,185,74,1988-04-08 00:00:00,http://www.ufcstats.com/fighter-details/fccf811c1e8b01c7,Marvin Vettori,72.0,185.0,74.0,1993-09-20 00:00:00,http://www.ufcstats.com/fighter-details/7acbb0972e75281a,L,W,0,0,39,185,85,205,39,185,86,206,0,2,0,0,0,0,0,0,0,0,21,146,72,187,6,17,10,14,12,22,3,4,38,183,74,188,1,2.0,11.0,17.0,0.0,0.0,0.0,0.0,2019-10-12,"Tampa, Florida, USA",10597
Lauren Mueller,65,125,67,1991-11-15 00:00:00,http://www.ufcstats.com/fighter-details/f923e012414c883e,JJ Aldrich,65.0,125.0,67.0,1992-09-29 00:00:00,http://www.ufcstats.com/fighter-details/6fd953151d981979,L,W,0,0,54,147,74,160,60,153,78,164,1,1,1,2,0,0,1,0,0,0,34,117,59,142,10,20,10,11,10,10,5,7,52,145,70,151,2,2.0,4.0,9.0,0.0,0.0,0.0,0.0,2019-10-12,"Tampa, Florida, USA",10597
Israel Adesanya,76,185,80,1989-07-22 00:00:00,http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e,Robert Whittaker,72.0,185.0,73.0,1990-12-20 00:00:00,http://www.ufcstats.com/fighter-details/e1147d3d2dabe1ce,W,L,2,0,40,95,32,116,40,95,32,116,0,0,0,0,0,0,0,0,0,0,27,80,20,97,6,8,3,5,7,7,9,14,37,91,32,116,0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,2019-10-05,"Melbourne, Victoria, Australia",57127
Dan Hooker,72,155,75,1990-02-13 00:00:00,http://www.ufcstats.com/fighter-details/193b9d1858bc4df3,Al Iaquinta,70.0,155.0,70.0,1987-04-30 00:00:00,http://www.ufcstats.com/fighter-details/59279a7c978f7da0,W,L,1,0,98,207,37,116,104,213,38,117,0,1,0,3,0,0,0,2,0,0,68,168,21,93,7,13,7,11,23,26,9,12,76,182,37,116,0,0.0,0.0,0.0,22.0,25.0,0.0,0.0,2019-10-05,"Melbourne, Victoria, Australia",57127
Serghei Spivac,75,260,78,1995-01-24 00:00:00,http://www.ufcstats.com/fighter-details/e2f6b2769aaedd6c,Tai Tuivasa,74.0,264.0,75.0,1993-03-16 00:00:00,http://www.ufcstats.com/fighter-details/c62fbc117d57b943,W,L,0,0,23,42,21,50,40,60,22,51,6,8,0,0,1,0,0,6,0,0,22,41,8,32,1,1,4,8,0,0,9,10,8,27,17,39,1,1.0,4.0,9.0,14.0,14.0,0.0,2.0,2019-10-05,"Melbourne, Victoria, Australia",57127
Dhiego Lima,74,170,74,1989-01-31 00:00:00,http://www.ufcstats.com/fighter-details/e9213f53ddeca978,Luke Jumeau,71.0,170.0,72.0,1988-02-12 00:00:00,http://www.ufcstats.com/fighter-details/4c288a2b250bb576,W,L,0,0,32,105,24,95,49,124,24,95,2,6,0,0,0,0,0,0,0,0,15,72,17,85,2,12,1,4,15,21,6,6,30,99,24,95,0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,2019-10-05,"Melbourne, Victoria, Australia",57127
Yorgan De Castro,72,250,74,1986-12-19 00:00:00,http://www.ufcstats.com/fighter-details/1eff7bc0f815b270,Justin Tafa,,265.0,,,http://www.ufcstats.com/fighter-details/e13abac8089a801a,W,L,1,0,4,12,6,9,6,14,17,20,0,0,0,0,0,0,0,0,0,0,2,10,5,8,2,2,1,1,0,0,0,0,4,8,2,3,0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,2019-10-05,"Melbourne, Victoria, Australia",57127
Rostem Akman,70,170,72,1991-12-19 00:00:00,http://www.ufcstats.com/fighter-details/1fc64507a0cb38cf,Jake Matthews,71.0,170.0,73.0,1994-08-19 00:00:00,http://www.ufcstats.com/fighter-details/a845f0735bc67405,L,W,0,0,15,110,59,133,15,110,61,136,0,0,0,2,0,0,0,0,0,0,8,94,19,76,6,15,20,35,1,1,20,22,11,104,53,127,4,6.0,6.0,6.0,0.0,0.0,0.0,0.0,2019-10-05,"Melbourne, Victoria, Australia",57127
Maki Pitolo,70,185,72,1990-11-24 00:00:00,http://www.ufcstats.com/fighter-details/c549573c0df4d676,Callan Potter,72.0,155.0,72.0,1984-06-09 00:00:00,http://www.ufcstats.com/fighter-details/8fc9ae9c7527dfcb,L,W,0,0,60,155,48,96,103,198,127,198,0,2,3,4,1,0,4,1,1,1,49,142,44,91,9,11,2,3,2,2,2,2,60,155,41,89,0,0.0,4.0,4.0,0.0,0.0,3.0,3.0,2019-10-05,"Melbourne, Victoria, Australia",57127
Jamie Mullarkey,72,155,74,1994-08-17 00:00:00,http://www.ufcstats.com/fighter-details/af9f42e6894047fc,Brad Riddell,67.0,155.0,71.0,1991-09-30 00:00:00,http://www.ufcstats.com/fighter-details/37ed1ab2f8b819f4,L,W,0,0,36,95,91,153,41,100,104,167,3,15,1,1,1,0,5,2,1,1,25,83,70,129,4,4,14,16,7,8,7,8,35,93,63,121,0,0.0,3.0,3.0,1.0,2.0,25.0,29.0,2019-10-05,"Melbourne, Victoria, Australia",57127
Zarah Fairn,Megan Anderson,L,W,0,0,2,5.0,10.0,18.0,32,45,22,33,0,0,1,2,0,1,2,0,1,0,2,5,10,17,0,0,0,1,0,0,0,0,2,5,0,4,0,0,0,1,0,0,10,13,2019-10-05 00:00:00,"Melbourne, Victoria, Australia",57127,,,,,,,,,,
Ji Yeon Kim,67,125,72,1989-10-18 00:00:00,http://www.ufcstats.com/fighter-details/a20f234df70f2182,Nadia Kassem,65.0,125.0,66.0,1995-11-15 00:00:00,http://www.ufcstats.com/fighter-details/6e7506127408aa9e,W,L,1,0,80,179,45,131,83,185,53,139,0,0,1,2,0,0,0,0,0,0,64,151,9,67,12,19,31,56,4,9,5,8,74,167,40,119,5,8.0,4.0,8.0,1.0,4.0,1.0,4.0,2019-10-05,"Melbourne, Victoria, Australia",57127
Bruno Silva,72,185,,1989-07-13 00:00:00,http://www.ufcstats.com/fighter-details/12ebd7d157e91701,Khalid Taha,65.0,135.0,69.0,1992-02-15 00:00:00,http://www.ufcstats.com/fighter-details/b4537562f88ac582,L,W,0,1,20,50,38,88,51,88,74,127,2,11,0,1,0,1,1,1,0,0,9,33,29,69,8,11,4,11,3,6,5,8,10,31,19,62,1,1.0,6.0,7.0,9.0,18.0,13.0,19.0,2019-10-05,"Melbourne, Victoria, Australia",57127
Jared Cannonier,71,185,77,1984-03-16 00:00:00,http://www.ufcstats.com/fighter-details/13a0275fa13c4d26,Jack Hermansson,73.0,185.0,77.0,1988-06-10 00:00:00,http://www.ufcstats.com/fighter-details/0a1942069c9ad6b6,W,L,1,0,28,53,20,42,29,54,22,45,0,0,1,6,0,0,1,1,0,0,21,43,5,21,2,3,2,5,5,7,13,16,10,34,19,41,1,2.0,1.0,1.0,17.0,17.0,0.0,0.0,2019-09-28,"Copenhagen, Denmark",12767
Danilo Belluardo,72,155,74,1994-07-21 00:00:00,http://www.ufcstats.com/fighter-details/c3f6db17cea09ca7,Mark Madsen,70.0,170.0,,1984-09-23 00:00:00,http://www.ufcstats.com/fighter-details/da0995f19b749cfa,L,W,0,0,0,1,22,29,0,1,24,31,0,0,1,2,0,0,1,0,0,0,0,1,22,29,0,0,0,0,0,0,0,0,0,1,0,2,0,0.0,1.0,1.0,0.0,0.0,21.0,26.0,2019-09-28,"Copenhagen, Denmark",12767
